group	fill
1	#A3A3A3
2	#9A9A9A
3	#909090
4	#868686
5	#7D7D7D
6	#747474
7	#6A6A6A
8	#616161
9	#585858
10	#505050
11	#484848
12	#3F3F3F
13	#383838
14	#303030
15	#292929
16	#222222
17	#1C1C1C
18	#161616
19	#0F0F0F
20	#050505
21	#A9A9A9
22	#9F9F9F
23	#969696
24	#8C8C8C
25	#838383
26	#797979
27	#707070
28	#676767
29	#5E5E5E
30	#555555
31	#4D4D4D
32	#454545
33	#3D3D3D
34	#353535
35	#2E2E2E
36	#272727
37	#202020
38	#1A1A1A
39	#141414
40	#0D0D0D
41	#AEAEAE
42	#A4A4A4
43	#9B9B9B
44	#919191
45	#888888
46	#7E7E7E
47	#757575
48	#6C6C6C
49	#636363
50	#5A5A5A
51	#525252
52	#4A4A4A
53	#424242
54	#3A3A3A
55	#333333
56	#2C2C2C
57	#252525
58	#1E1E1E
59	#181818
60	#121212
61	#B3B3B3
62	#A9A9A9
63	#A0A0A0
64	#969696
65	#8D8D8D
66	#848484
67	#7A7A7A
68	#717171
69	#686868
70	#5F5F5F
71	#575757
72	#4E4E4E
73	#464646
74	#3E3E3E
75	#373737
76	#303030
77	#292929
78	#222222
79	#1C1C1C
80	#161616
81	#B7B7B7
82	#AEAEAE
83	#A4A4A4
84	#9B9B9B
85	#929292
86	#888888
87	#7F7F7F
88	#767676
89	#6D6D6D
90	#646464
91	#5B5B5B
92	#535353
93	#4B4B4B
94	#434343
95	#3B3B3B
96	#343434
97	#2D2D2D
98	#262626
99	#202020
100	#1A1A1A
101	#BBBBBB
102	#B2B2B2
103	#A9A9A9
104	#9F9F9F
105	#969696
106	#8D8D8D
107	#838383
108	#7A7A7A
109	#717171
110	#686868
111	#5F5F5F
112	#575757
113	#4E4E4E
114	#464646
115	#3F3F3F
116	#373737
117	#303030
118	#292929
119	#232323
120	#1D1D1D
121	#BFBFBF
122	#B6B6B6
123	#ADADAD
124	#A3A3A3
125	#9A9A9A
126	#919191
127	#878787
128	#7E7E7E
129	#757575
130	#6C6C6C
131	#636363
132	#5A5A5A
133	#525252
134	#4A4A4A
135	#424242
136	#3A3A3A
137	#333333
138	#2C2C2C
139	#252525
140	#1F1F1F
141	#C3C3C3
142	#BABABA
143	#B0B0B0
144	#A7A7A7
145	#9E9E9E
146	#949494
147	#8B8B8B
148	#828282
149	#787878
150	#6F6F6F
151	#666666
152	#5E5E5E
153	#555555
154	#4D4D4D
155	#454545
156	#3D3D3D
157	#363636
