group	fill
1	#000000
2	#000000
3	#000000
4	#000000
5	#000000
6	#080808
7	#0E0E0E
8	#515151
9	#666666
10	#595959
11	#646464
12	#323232
13	#232323
14	#7C7C7C
15	#656565
16	#000000
17	#000000
18	#000000
19	#F9F9F9
20	#FFFFFF
21	#000000
22	#000000
23	#000000
24	#000000
25	#000000
26	#131313
27	#FFFFFF
28	#FFFFFF
29	#666666
30	#000000
31	#000000
32	#000000
33	#000000
34	#373737
35	#393939
36	#000000
37	#000000
38	#CDCDCD
39	#FFFFFF
40	#FFFFFF
41	#000000
42	#000000
43	#000000
44	#000000
45	#000000
46	#000000
47	#ABABAB
48	#FFFFFF
49	#FFFFFF
50	#464646
51	#000000
52	#000000
53	#000000
54	#000000
55	#262626
56	#272727
57	#C8C8C8
58	#FFFFFF
59	#FFFFFF
60	#000000
61	#6D6D6D
62	#000000
63	#000000
64	#000000
65	#000000
66	#000000
67	#000000
68	#FFFFFF
69	#FFFFFF
70	#FFFFFF
71	#424242
72	#000000
73	#000000
74	#000000
75	#5B5B5B
76	#F9F9F9
77	#FFFFFF
78	#FFFFFF
79	#3E3E3E
80	#000000
81	#FFFFFF
82	#474747
83	#000000
84	#000000
85	#000000
86	#000000
87	#000000
88	#262626
89	#FFFFFF
90	#FFFFFF
91	#FFFFFF
92	#E9E9E9
93	#000000
94	#606060
95	#FFFFFF
96	#FFFFFF
97	#FFFFFF
98	#FFFFFF
99	#000000
100	#000000
101	#FFFFFF
102	#FFFFFF
103	#5D5D5D
104	#000000
105	#000000
106	#000000
107	#000000
108	#000000
109	#FFFFFF
110	#FFFFFF
111	#FFFFFF
112	#FFFFFF
113	#FFFFFF
114	#FFFFFF
115	#FFFFFF
116	#FFFFFF
117	#FFFFFF
118	#2E2E2E
119	#000000
120	#000000
121	#9B9B9B
122	#ECECEC
123	#FFFFFF
124	#FFFFFF
125	#000000
126	#000000
127	#000000
128	#000000
129	#FCFCFC
130	#FFFFFF
131	#FFFFFF
132	#FFFFFF
133	#FFFFFF
134	#FFFFFF
135	#FFFFFF
136	#FFFFFF
137	#FFFFFF
138	#808080
139	#282828
140	#020202
141	#9A9A9A
142	#FCFCFC
143	#FFFFFF
144	#FFFFFF
145	#FFFFFF
146	#000000
147	#000000
148	#000000
149	#CBCBCB
150	#FFFFFF
151	#FFFFFF
152	#FFFFFF
153	#FFFFFF
154	#FFFFFF
155	#FFFFFF
156	#FFFFFF
157	#FFFFFF
158	#D0D0D0
159	#3E3E3E
160	#000000
161	#919191
162	#B5B5B5
163	#FAFAFA
164	#FFFFFF
165	#FFFFFF
166	#FFFFFF
167	#000000
168	#000000
169	#000000
170	#7C7C7C
171	#FFFFFF
172	#FFFFFF
173	#FFFFFF
174	#FFFFFF
175	#FFFFFF
176	#FFFFFF
177	#FFFFFF
178	#FFFFFF
179	#A4A4A4
180	#3D3D3D
181	#C3C3C3
182	#A5A5A5
183	#979797
184	#B2B2B2
185	#FFFFFF
186	#FFFFFF
187	#FFFFFF
188	#000000
189	#000000
190	#000000
191	#000000
192	#191919
193	#FFFFFF
194	#FFFFFF
195	#FFFFFF
196	#FFFFFF
197	#FFFFFF
198	#FFFFFF
199	#000000
200	#000000
201	#E6E6E6
202	#A6A6A6
203	#717171
204	#555555
205	#6D6D6D
206	#F5F5F5
207	#FFFFFF
208	#FFFFFF
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#FFFFFF
215	#FFFFFF
216	#FFFFFF
217	#FFFFFF
218	#FFFFFF
219	#000000
220	#000000
221	#EAEAEA
222	#9B9B9B
223	#545454
224	#1E1E1E
225	#000000
226	#282828
227	#CCCCCC
228	#FFFFFF
229	#FFFFFF
230	#000000
231	#000000
232	#000000
233	#000000
234	#000000
235	#FFFFFF
236	#FFFFFF
237	#FFFFFF
238	#FFFFFF
239	#A7A7A7
240	#000000
241	#E6E6E6
242	#8E8E8E
243	#3C3C3C
244	#000000
245	#000000
246	#000000
247	#000000
248	#6E6E6E
249	#898989
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#FFFFFF
256	#FFFFFF
257	#FFFFFF
258	#FFFFFF
259	#CACACA
260	#000000
261	#E6E6E6
262	#858585
263	#282828
264	#000000
265	#000000
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#000000
276	#FFFFFF
277	#FFFFFF
278	#FFFFFF
279	#6C6C6C
280	#000000
281	#E7E7E7
282	#7C7C7C
283	#151515
284	#000000
285	#000000
286	#000000
287	#000000
288	#000000
289	#000000
290	#000000
291	#000000
292	#000000
293	#000000
294	#000000
295	#000000
296	#929292
297	#FFFFFF
298	#C9C9C9
299	#111111
300	#000000
301	#E4E4E4
302	#6C6C6C
303	#000000
304	#000000
305	#000000
306	#000000
307	#000000
308	#000000
309	#000000
310	#000000
311	#000000
312	#000000
313	#000000
314	#000000
315	#000000
316	#000000
