group	fill
1	#000000
2	#000000
3	#000000
4	#000000
5	#000000
6	#000000
7	#FFFFFF
8	#FFFFFF
9	#000000
10	#FFFFFF
11	#6B6B6B
12	#000000
13	#000000
14	#FFFFFF
15	#FFFFFF
16	#FFFFFF
17	#FFFFFF
18	#FFFFFF
19	#FFFFFF
20	#FFFFFF
21	#000000
22	#000000
23	#000000
24	#000000
25	#000000
26	#1D1D1D
27	#FFFFFF
28	#FFFFFF
29	#454545
30	#FFFFFF
31	#000000
32	#000000
33	#000000
34	#000000
35	#D2D2D2
36	#FFFFFF
37	#FFFFFF
38	#C5C5C5
39	#FFFFFF
40	#FFFFFF
41	#000000
42	#000000
43	#000000
44	#000000
45	#000000
46	#000000
47	#FFFFFF
48	#FFFFFF
49	#FFFFFF
50	#757575
51	#000000
52	#000000
53	#000000
54	#000000
55	#000000
56	#000000
57	#000000
58	#000000
59	#FFFFFF
60	#FFFFFF
61	#8C8C8C
62	#000000
63	#000000
64	#000000
65	#000000
66	#000000
67	#000000
68	#FFFFFF
69	#FFFFFF
70	#000000
71	#000000
72	#000000
73	#000000
74	#000000
75	#000000
76	#000000
77	#000000
78	#000000
79	#FFFFFF
80	#FFFFFF
81	#FFFFFF
82	#727272
83	#000000
84	#000000
85	#000000
86	#000000
87	#000000
88	#FFFFFF
89	#FFFFFF
90	#000000
91	#000000
92	#000000
93	#000000
94	#000000
95	#000000
96	#000000
97	#000000
98	#000000
99	#FFFFFF
100	#FFFFFF
101	#FFFFFF
102	#FFFFFF
103	#000000
104	#000000
105	#000000
106	#000000
107	#000000
108	#FFFFFF
109	#000000
110	#000000
111	#000000
112	#000000
113	#000000
114	#000000
115	#000000
116	#000000
117	#000000
118	#090909
119	#FFFFFF
120	#FFFFFF
121	#DDDDDD
122	#C9C9C9
123	#A8A8A8
124	#000000
125	#000000
126	#000000
127	#000000
128	#FFFFFF
129	#000000
130	#000000
131	#000000
132	#000000
133	#000000
134	#000000
135	#000000
136	#000000
137	#B2B2B2
138	#FFFFFF
139	#FFFFFF
140	#000000
141	#FFFFFF
142	#909090
143	#323232
144	#000000
145	#000000
146	#000000
147	#000000
148	#000000
149	#000000
150	#000000
151	#000000
152	#000000
153	#000000
154	#000000
155	#000000
156	#FFFFFF
157	#FFFFFF
158	#FFFFFF
159	#000000
160	#525252
161	#A1A1A1
162	#FFFFFF
163	#FFFFFF
164	#FFFFFF
165	#EEEEEE
166	#000000
167	#000000
168	#000000
169	#000000
170	#000000
171	#000000
172	#000000
173	#000000
174	#000000
175	#000000
176	#999999
177	#000000
178	#000000
179	#000000
180	#5B5B5B
181	#868686
182	#FFFFFF
183	#FFFFFF
184	#FFFFFF
185	#FFFFFF
186	#FFFFFF
187	#FFFFFF
188	#000000
189	#000000
190	#000000
191	#000000
192	#000000
193	#000000
194	#000000
195	#000000
196	#000000
197	#000000
198	#000000
199	#000000
200	#000000
201	#000000
202	#1D1D1D
203	#AFAFAF
204	#BFBFBF
205	#000000
206	#000000
207	#FFFFFF
208	#5E5E5E
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#000000
215	#000000
216	#000000
217	#000000
218	#000000
219	#000000
220	#000000
221	#000000
222	#000000
223	#000000
224	#000000
225	#000000
226	#000000
227	#FFFFFF
228	#000000
229	#000000
230	#000000
231	#000000
232	#000000
233	#000000
234	#000000
235	#000000
236	#000000
237	#000000
238	#000000
239	#000000
240	#000000
241	#3B3B3B
242	#000000
243	#000000
244	#000000
245	#000000
246	#000000
247	#636363
248	#000000
249	#000000
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#000000
256	#000000
257	#000000
258	#000000
259	#000000
260	#FFFFFF
261	#000000
262	#000000
263	#000000
264	#000000
265	#000000
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#000000
276	#000000
277	#000000
278	#000000
279	#000000
280	#FFFFFF
281	#000000
282	#000000
283	#000000
284	#000000
285	#000000
286	#000000
287	#000000
288	#000000
289	#000000
290	#000000
291	#000000
292	#000000
293	#000000
294	#000000
295	#000000
296	#000000
297	#000000
298	#000000
299	#FFFFFF
300	#FFFFFF
301	#000000
302	#000000
303	#000000
304	#000000
305	#000000
306	#000000
307	#000000
308	#000000
309	#000000
310	#000000
311	#000000
312	#000000
313	#000000
314	#000000
315	#000000
316	#000000
317	#000000
318	#101010
319	#FFFFFF
320	#FFFFFF
321	#000000
322	#000000
323	#000000
324	#000000
325	#000000
326	#000000
327	#000000
328	#000000
329	#000000
330	#000000
331	#000000
332	#000000
333	#000000
334	#000000
335	#000000
336	#000000
337	#000000
338	#888888
339	#EAEAEA
340	#FFFFFF
341	#000000
342	#000000
343	#000000
344	#000000
345	#000000
346	#000000
347	#000000
348	#000000
349	#000000
350	#000000
351	#000000
352	#000000
353	#000000
354	#000000
355	#000000
356	#000000
357	#000000
358	#0A0A0A
359	#FFFFFF
360	#F8F8F8
361	#000000
362	#000000
363	#000000
364	#000000
365	#000000
366	#000000
367	#000000
368	#000000
369	#000000
370	#000000
371	#000000
372	#000000
373	#000000
374	#000000
375	#000000
376	#000000
377	#000000
378	#000000
379	#FFFFFF
380	#FFFFFF
381	#000000
382	#000000
383	#000000
384	#000000
385	#000000
386	#000000
387	#000000
388	#000000
389	#000000
390	#000000
391	#000000
392	#000000
393	#000000
394	#000000
395	#000000
396	#000000
397	#000000
398	#000000
399	#FBFBFB
400	#FFFFFF
