group	fill
1	#929292
2	#8A8A8A
3	#828282
4	#7A7A7A
5	#727272
6	#6B6B6B
7	#636363
8	#5C5C5C
9	#555555
10	#4E4E4E
11	#474747
12	#414141
13	#3A3A3A
14	#343434
15	#2E2E2E
16	#282828
17	#232323
18	#1E1E1E
19	#181818
20	#131313
21	#959595
22	#8D8D8D
23	#858585
24	#7E7E7E
25	#767676
26	#6E6E6E
27	#676767
28	#5F5F5F
29	#585858
30	#515151
31	#4A4A4A
32	#434343
33	#3C3C3C
34	#363636
35	#2F2F2F
36	#292929
37	#232323
38	#1E1E1E
39	#181818
40	#131313
41	#999999
42	#919191
43	#898989
44	#818181
45	#797979
46	#717171
47	#696969
48	#626262
49	#5A5A5A
50	#535353
51	#4C4C4C
52	#454545
53	#3E3E3E
54	#373737
55	#303030
56	#2A2A2A
57	#242424
58	#1E1E1E
59	#181818
60	#121212
61	#9C9C9C
62	#949494
63	#8C8C8C
64	#848484
65	#7C7C7C
66	#747474
67	#6C6C6C
68	#646464
69	#5D5D5D
70	#555555
71	#4E4E4E
72	#464646
73	#3F3F3F
74	#383838
75	#313131
76	#2B2B2B
77	#242424
78	#1E1E1E
79	#181818
80	#111111
81	#9E9E9E
82	#979797
83	#8F8F8F
84	#878787
85	#7F7F7F
86	#777777
87	#6F6F6F
88	#676767
89	#5F5F5F
90	#575757
91	#4F4F4F
92	#484848
93	#404040
94	#393939
95	#323232
96	#2B2B2B
97	#242424
98	#1E1E1E
99	#171717
100	#101010
101	#A1A1A1
102	#999999
103	#919191
104	#898989
105	#818181
106	#797979
107	#717171
108	#696969
109	#616161
110	#595959
111	#515151
112	#494949
113	#424242
114	#3A3A3A
115	#323232
116	#2B2B2B
117	#242424
118	#1D1D1D
119	#171717
120	#0F0F0F
121	#A4A4A4
122	#9C9C9C
123	#949494
124	#8C8C8C
125	#848484
126	#7C7C7C
127	#737373
128	#6B6B6B
129	#636363
130	#5B5B5B
131	#535353
132	#4B4B4B
133	#434343
134	#3B3B3B
135	#333333
136	#2B2B2B
137	#242424
138	#1D1D1D
139	#161616
140	#0E0E0E
141	#A6A6A6
142	#9E9E9E
143	#969696
144	#8E8E8E
145	#868686
146	#7E7E7E
147	#757575
148	#6D6D6D
149	#656565
150	#5C5C5C
151	#545454
152	#4C4C4C
153	#434343
154	#3B3B3B
155	#333333
156	#2C2C2C
157	#242424
158	#1D1D1D
