group	fill
1	#000000
2	#000000
3	#000000
4	#0D0D0D
5	#353535
6	#5B5B5B
7	#737373
8	#727272
9	#5F5F5F
10	#5A5A5A
11	#636363
12	#434343
13	#232323
14	#2C2C2C
15	#313131
16	#000000
17	#000000
18	#8C8C8C
19	#FFFFFF
20	#FFFFFF
21	#000000
22	#000000
23	#000000
24	#202020
25	#414141
26	#5D5D5D
27	#646464
28	#4B4B4B
29	#1F1F1F
30	#0F0F0F
31	#222222
32	#242424
33	#2B2B2B
34	#444444
35	#323232
36	#000000
37	#3A3A3A
38	#FFFFFF
39	#FFFFFF
40	#FFFFFF
41	#1B1B1B
42	#1D1D1D
43	#292929
44	#3E3E3E
45	#575757
46	#646464
47	#555555
48	#242424
49	#000000
50	#000000
51	#000000
52	#272727
53	#4C4C4C
54	#5E5E5E
55	#2D2D2D
56	#1D1D1D
57	#FFFFFF
58	#FFFFFF
59	#FFFFFF
60	#FFFFFF
61	#555555
62	#555555
63	#5C5C5C
64	#6A6A6A
65	#777777
66	#717171
67	#494949
68	#010101
69	#000000
70	#000000
71	#000000
72	#4B4B4B
73	#7C7C7C
74	#676767
75	#262626
76	#6C6C6C
77	#FFFFFF
78	#FFFFFF
79	#D4D4D4
80	#242424
81	#8C8C8C
82	#909090
83	#979797
84	#9F9F9F
85	#9D9D9D
86	#818181
87	#434343
88	#000000
89	#000000
90	#000000
91	#2F2F2F
92	#8B8B8B
93	#9E9E9E
94	#4A4A4A
95	#161616
96	#949494
97	#ECECEC
98	#848484
99	#1B1B1B
100	#000000
101	#AEAEAE
102	#BFBFBF
103	#CCCCCC
104	#D0D0D0
105	#C1C1C1
106	#939393
107	#4E4E4E
108	#161616
109	#000000
110	#1B1B1B
111	#7A7A7A
112	#C3C3C3
113	#808080
114	#000000
115	#000000
116	#777777
117	#787878
118	#3F3F3F
119	#101010
120	#000000
121	#B1B1B1
122	#D3D3D3
123	#ECECEC
124	#F4F4F4
125	#DEDEDE
126	#ADADAD
127	#797979
128	#5B5B5B
129	#545454
130	#727272
131	#B6B6B6
132	#A2A2A2
133	#0E0E0E
134	#000000
135	#3C3C3C
136	#A2A2A2
137	#949494
138	#626262
139	#2A2A2A
140	#000000
141	#9C9C9C
142	#CFCFCF
143	#F9F9F9
144	#FFFFFF
145	#FFFFFF
146	#E5E5E5
147	#D9D9D9
148	#D6D6D6
149	#BEBEBE
150	#9A9A9A
151	#757575
152	#161616
153	#000000
154	#2F2F2F
155	#F8F8F8
156	#FFFFFF
157	#EFEFEF
158	#A0A0A0
159	#4E4E4E
160	#000000
161	#898989
162	#CCCCCC
163	#FFFFFF
164	#FFFFFF
165	#FFFFFF
166	#FFFFFF
167	#FFFFFF
168	#FFFFFF
169	#A5A5A5
170	#191919
171	#000000
172	#000000
173	#373737
174	#FFFFFF
175	#FFFFFF
176	#FFFFFF
177	#FFFFFF
178	#E4E4E4
179	#7A7A7A
180	#1F1F1F
181	#A6A6A6
182	#FCFCFC
183	#FFFFFF
184	#FFFFFF
185	#FFFFFF
186	#FFFFFF
187	#FFFFFF
188	#949494
189	#000000
190	#000000
191	#000000
192	#171717
193	#FFFFFF
194	#FFFFFF
195	#FFFFFF
196	#FFFFFF
197	#FFFFFF
198	#FFFFFF
199	#999999
200	#292929
201	#FFFFFF
202	#FFFFFF
203	#FFFFFF
204	#FFFFFF
205	#FFFFFF
206	#D8D8D8
207	#272727
208	#000000
209	#000000
210	#000000
211	#000000
212	#FFFFFF
213	#FFFFFF
214	#FFFFFF
215	#FFFFFF
216	#FFFFFF
217	#FFFFFF
218	#FFFFFF
219	#9D9D9D
220	#1F1F1F
221	#FFFFFF
222	#FFFFFF
223	#FFFFFF
224	#B8B8B8
225	#161616
226	#000000
227	#000000
228	#000000
229	#000000
230	#000000
231	#000000
232	#FFFFFF
233	#FFFFFF
234	#FFFFFF
235	#FFFFFF
236	#FFFFFF
237	#FFFFFF
238	#FFFFFF
239	#8D8D8D
240	#0C0C0C
241	#FFFFFF
242	#E9E9E9
243	#151515
244	#000000
245	#000000
246	#000000
247	#000000
248	#000000
249	#000000
250	#000000
251	#1F1F1F
252	#FFFFFF
253	#FFFFFF
254	#FFFFFF
255	#FFFFFF
256	#FFFFFF
257	#FFFFFF
258	#F9F9F9
259	#727272
260	#000000
261	#6A6A6A
262	#000000
263	#000000
264	#000000
265	#000000
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#FFFFFF
273	#FFFFFF
274	#FFFFFF
275	#FFFFFF
276	#FFFFFF
277	#FFFFFF
278	#C4C4C4
279	#535353
280	#000000
281	#000000
282	#000000
283	#000000
284	#000000
285	#000000
286	#000000
287	#000000
288	#000000
289	#000000
290	#000000
291	#000000
292	#4E4E4E
293	#E5E5E5
294	#FFFFFF
295	#FFFFFF
296	#FFFFFF
297	#D9D9D9
298	#868686
299	#353535
300	#000000
301	#000000
302	#000000
303	#000000
