group	fill
1	#FFFFFF
2	#FDFDFD
3	#D8D8D8
4	#B5B5B5
5	#979797
6	#7F7F7F
7	#6D6D6D
8	#626262
9	#5D5D5D
10	#5C5C5C
11	#5B5B5B
12	#555555
13	#494949
14	#3B3B3B
15	#323232
16	#393939
17	#595959
18	#888888
19	#A5A5A5
20	#9D9D9D
21	#FFFFFF
22	#F2F2F2
23	#CBCBCB
24	#A7A7A7
25	#888888
26	#6D6D6D
27	#595959
28	#4B4B4B
29	#444444
30	#414141
31	#3E3E3E
32	#393939
33	#2F2F2F
34	#252525
35	#202020
36	#2D2D2D
37	#525252
38	#7E7E7E
39	#8F8F8F
40	#7D7D7D
41	#FFFFFF
42	#E5E5E5
43	#BDBDBD
44	#989898
45	#787878
46	#5B5B5B
47	#454545
48	#353535
49	#2B2B2B
50	#262626
51	#232323
52	#1E1E1E
53	#171717
54	#0D0D0D
55	#0F0F0F
56	#232323
57	#4C4C4C
58	#717171
59	#777777
60	#5E5E5E
61	#FFFFFF
62	#D8D8D8
63	#AFAFAF
64	#898989
65	#676767
66	#4A4A4A
67	#323232
68	#202020
69	#141414
70	#0A0A0A
71	#020202
72	#000000
73	#000000
74	#000000
75	#000000
76	#1B1B1B
77	#454545
78	#626262
79	#5F5F5F
80	#424242
81	#F5F5F5
82	#CACACA
83	#A1A1A1
84	#7B7B7B
85	#585858
86	#393939
87	#202020
88	#090909
89	#000000
90	#000000
91	#000000
92	#000000
93	#000000
94	#000000
95	#000000
96	#161616
97	#3F3F3F
98	#555555
99	#4B4B4B
100	#2D2D2D
101	#E8E8E8
102	#BDBDBD
103	#939393
104	#6C6C6C
105	#494949
106	#2A2A2A
107	#0E0E0E
108	#000000
109	#000000
110	#000000
111	#000000
112	#000000
113	#000000
114	#000000
115	#000000
116	#141414
117	#3C3C3C
118	#4A4A4A
119	#3C3C3C
120	#1F1F1F
121	#DCDCDC
122	#B0B0B0
123	#868686
124	#5F5F5F
125	#3B3B3B
126	#1C1C1C
127	#000000
128	#000000
129	#000000
130	#000000
131	#000000
132	#000000
133	#000000
134	#000000
135	#000000
136	#171717
137	#3C3C3C
138	#454545
139	#353535
140	#191919
141	#D1D1D1
142	#A5A5A5
143	#7B7B7B
144	#545454
145	#303030
146	#101010
147	#000000
148	#000000
149	#000000
150	#000000
151	#000000
152	#000000
153	#000000
154	#000000
155	#000000
156	#1F1F1F
157	#414141
158	#464646
159	#343434
160	#191919
161	#C9C9C9
162	#9D9D9D
163	#737373
164	#4C4C4C
165	#282828
166	#020202
167	#000000
168	#000000
169	#000000
170	#000000
171	#000000
172	#000000
173	#000000
174	#000000
175	#000000
176	#2A2A2A
177	#4A4A4A
178	#4A4A4A
179	#383838
180	#1D1D1D
181	#C4C4C4
182	#999999
183	#707070
184	#494949
185	#252525
186	#000000
187	#000000
188	#000000
189	#000000
190	#000000
191	#000000
192	#000000
193	#000000
194	#000000
195	#000000
196	#373737
197	#525252
198	#505050
199	#3C3C3C
200	#222222
201	#C6C6C6
202	#9B9B9B
203	#717171
204	#494949
205	#252525
206	#000000
207	#000000
208	#000000
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#000000
215	#0D0D0D
216	#424242
217	#585858
218	#535353
219	#3E3E3E
220	#252525
221	#CCCCCC
222	#A1A1A1
223	#767676
224	#4D4D4D
225	#262626
226	#000000
227	#000000
228	#000000
229	#000000
230	#000000
231	#000000
232	#000000
233	#000000
234	#000000
235	#181818
236	#484848
237	#595959
238	#525252
239	#3E3E3E
240	#252525
241	#D6D6D6
242	#A8A8A8
243	#7B7B7B
244	#4F4F4F
245	#262626
246	#000000
247	#000000
248	#000000
249	#000000
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#1C1C1C
256	#484848
257	#565656
258	#4E4E4E
259	#3B3B3B
260	#232323
261	#DEDEDE
262	#ACACAC
263	#7B7B7B
264	#4C4C4C
265	#202020
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#1C1C1C
276	#434343
277	#4E4E4E
278	#474747
279	#353535
280	#1F1F1F
281	#DDDDDD
282	#A7A7A7
283	#727272
284	#404040
285	#111111
286	#000000
287	#000000
288	#000000
289	#000000
290	#000000
291	#000000
292	#000000
293	#000000
294	#000000
295	#181818
296	#3A3A3A
297	#454545
298	#3E3E3E
299	#2F2F2F
300	#1B1B1B
301	#D1D1D1
302	#979797
303	#5F5F5F
304	#2B2B2B
305	#000000
306	#000000
307	#000000
308	#000000
309	#000000
310	#000000
311	#000000
312	#000000
313	#000000
314	#000000
315	#0F0F0F
316	#2F2F2F
317	#393939
318	#343434
319	#272727
320	#151515
321	#B9B9B9
322	#7C7C7C
323	#434343
324	#0F0F0F
325	#000000
326	#000000
327	#000000
328	#000000
329	#000000
330	#000000
331	#000000
332	#000000
333	#000000
334	#000000
335	#000000
336	#222222
337	#2C2C2C
338	#2A2A2A
339	#1F1F1F
340	#0D0D0D
341	#979797
342	#595959
343	#222222
344	#000000
345	#000000
346	#000000
347	#000000
348	#000000
349	#000000
350	#000000
351	#000000
352	#000000
353	#000000
354	#000000
355	#000000
356	#151515
357	#1F1F1F
358	#1E1E1E
359	#151515
360	#000000
361	#6F6F6F
362	#343434
363	#000000
364	#000000
365	#000000
366	#000000
367	#000000
368	#000000
369	#000000
370	#000000
371	#000000
372	#000000
373	#000000
374	#000000
375	#000000
376	#000000
377	#101010
378	#111111
379	#060606
380	#000000
381	#474747
382	#101010
383	#000000
384	#000000
385	#000000
386	#000000
387	#000000
388	#000000
389	#000000
390	#000000
391	#000000
392	#000000
393	#000000
394	#000000
395	#000000
396	#000000
397	#000000
398	#000000
399	#000000
400	#000000
