group	fill
1	#FFFFFF
2	#FFFFFF
3	#FFFFFF
4	#FFFFFF
5	#FFFFFF
6	#DBDBDB
7	#B7B7B7
8	#949494
9	#727272
10	#525252
11	#343434
12	#181818
13	#000000
14	#000000
15	#000000
16	#000000
17	#000000
18	#000000
19	#000000
20	#000000
21	#FFFFFF
22	#FFFFFF
23	#FFFFFF
24	#FFFFFF
25	#FFFFFF
26	#E3E3E3
27	#BEBEBE
28	#9B9B9B
29	#787878
30	#575757
31	#383838
32	#1C1C1C
33	#000000
34	#000000
35	#000000
36	#000000
37	#000000
38	#000000
39	#000000
40	#000000
41	#FFFFFF
42	#FFFFFF
43	#FFFFFF
44	#FFFFFF
45	#FFFFFF
46	#EBEBEB
47	#C6C6C6
48	#A2A2A2
49	#7F7F7F
50	#5D5D5D
51	#3E3E3E
52	#212121
53	#000000
54	#000000
55	#000000
56	#000000
57	#000000
58	#000000
59	#000000
60	#000000
61	#FFFFFF
62	#FFFFFF
63	#FFFFFF
64	#FFFFFF
65	#FFFFFF
66	#F4F4F4
67	#CECECE
68	#AAAAAA
69	#868686
70	#646464
71	#444444
72	#262626
73	#070707
74	#000000
75	#000000
76	#000000
77	#000000
78	#000000
79	#000000
80	#000000
81	#FFFFFF
82	#FFFFFF
83	#FFFFFF
84	#FFFFFF
85	#FFFFFF
86	#FEFEFE
87	#D8D8D8
88	#B2B2B2
89	#8E8E8E
90	#6B6B6B
91	#4B4B4B
92	#2C2C2C
93	#101010
94	#000000
95	#000000
96	#000000
97	#000000
98	#000000
99	#000000
100	#000000
101	#FFFFFF
102	#FFFFFF
103	#FFFFFF
104	#FFFFFF
105	#FFFFFF
106	#FFFFFF
107	#E1E1E1
108	#BBBBBB
109	#979797
110	#737373
111	#525252
112	#333333
113	#171717
114	#000000
115	#000000
116	#000000
117	#000000
118	#000000
119	#000000
120	#000000
121	#FFFFFF
122	#FFFFFF
123	#FFFFFF
124	#FFFFFF
125	#FFFFFF
126	#FFFFFF
127	#ECECEC
