group	fill
1	#919191
2	#898989
3	#808080
4	#787878
5	#707070
6	#686868
7	#606060
8	#595959
9	#515151
10	#4A4A4A
11	#434343
12	#3C3C3C
13	#363636
14	#303030
15	#2A2A2A
16	#242424
17	#1F1F1F
18	#1A1A1A
19	#151515
20	#0F0F0F
21	#939393
22	#8B8B8B
23	#828282
24	#797979
25	#717171
26	#696969
27	#616161
28	#595959
29	#525252
30	#4A4A4A
31	#434343
32	#3C3C3C
33	#363636
34	#303030
35	#2A2A2A
36	#242424
37	#1E1E1E
38	#191919
39	#141414
40	#0E0E0E
41	#969696
42	#8D8D8D
43	#848484
44	#7B7B7B
45	#737373
46	#6A6A6A
47	#626262
48	#5A5A5A
49	#525252
50	#4B4B4B
51	#444444
52	#3D3D3D
53	#363636
54	#303030
55	#292929
56	#242424
57	#1E1E1E
58	#191919
59	#131313
60	#0D0D0D
61	#9A9A9A
62	#909090
63	#878787
64	#7E7E7E
65	#757575
66	#6C6C6C
67	#646464
68	#5C5C5C
69	#545454
70	#4C4C4C
71	#454545
72	#3E3E3E
73	#373737
74	#303030
75	#2A2A2A
76	#242424
77	#1E1E1E
78	#191919
79	#131313
80	#0D0D0D
81	#9E9E9E
82	#959595
83	#8B8B8B
84	#818181
85	#787878
86	#6F6F6F
87	#666666
88	#5E5E5E
89	#565656
90	#4E4E4E
91	#464646
92	#3F3F3F
93	#383838
94	#313131
95	#2A2A2A
96	#242424
97	#1F1F1F
98	#191919
99	#141414
100	#0D0D0D
101	#A4A4A4
102	#999999
103	#8F8F8F
104	#868686
105	#7C7C7C
106	#737373
107	#696969
108	#616161
109	#585858
110	#505050
111	#484848
112	#404040
113	#393939
114	#323232
115	#2C2C2C
116	#252525
117	#1F1F1F
118	#1A1A1A
119	#141414
120	#0D0D0D
121	#AAAAAA
122	#9F9F9F
123	#959595
124	#8B8B8B
125	#818181
126	#777777
127	#6D6D6D
128	#646464
129	#5B5B5B
130	#535353
131	#4B4B4B
132	#434343
133	#3B3B3B
134	#343434
135	#2D2D2D
136	#272727
137	#212121
138	#1B1B1B
139	#151515
140	#0F0F0F
141	#B1B1B1
142	#A6A6A6
143	#9B9B9B
144	#909090
145	#868686
146	#7C7C7C
147	#727272
148	#696969
149	#5F5F5F
150	#575757
151	#4E4E4E
152	#464646
153	#3E3E3E
154	#373737
155	#2F2F2F
156	#292929
157	#222222
158	#1C1C1C
159	#171717
160	#111111
161	#BABABA
162	#AEAEAE
163	#A3A3A3
164	#979797
165	#8D8D8D
166	#828282
167	#787878
168	#6E6E6E
169	#646464
170	#5B5B5B
171	#525252
172	#4A4A4A
173	#424242
174	#3A3A3A
175	#323232
176	#2B2B2B
177	#252525
178	#1F1F1F
179	#191919
180	#131313
181	#C3C3C3
182	#B7B7B7
183	#ABABAB
184	#A0A0A0
185	#949494
186	#898989
187	#7F7F7F
188	#747474
189	#6A6A6A
190	#616161
191	#575757
192	#4E4E4E
193	#464646
194	#3E3E3E
195	#363636
196	#2F2F2F
197	#282828
198	#212121
199	#1B1B1B
200	#151515
201	#CECECE
202	#C2C2C2
203	#B5B5B5
204	#A9A9A9
205	#9D9D9D
206	#929292
207	#868686
208	#7C7C7C
209	#717171
210	#676767
211	#5D5D5D
212	#545454
213	#4B4B4B
214	#434343
215	#3B3B3B
216	#333333
217	#2C2C2C
218	#252525
219	#1E1E1E
220	#181818
221	#DBDBDB
222	#CDCDCD
223	#C0C0C0
224	#B4B4B4
225	#A7A7A7
226	#9B9B9B
227	#8F8F8F
228	#848484
229	#797979
230	#6F6F6F
231	#646464
232	#5B5B5B
233	#515151
234	#484848
235	#404040
236	#383838
237	#303030
238	#292929
239	#222222
240	#1C1C1C
241	#E8E8E8
242	#DADADA
243	#CDCDCD
244	#C0C0C0
245	#B3B3B3
246	#A6A6A6
247	#9A9A9A
248	#8E8E8E
249	#828282
250	#777777
251	#6D6D6D
252	#626262
253	#595959
254	#4F4F4F
255	#464646
