group	fill
1	#ABABAB
2	#A0A0A0
3	#959595
4	#898989
5	#7E7E7E
6	#737373
7	#686868
8	#5D5D5D
9	#525252
10	#484848
11	#3F3F3F
12	#363636
13	#2E2E2E
14	#272727
15	#212121
16	#1C1C1C
17	#181818
18	#141414
19	#111111
20	#0F0F0F
21	#B1B1B1
22	#A6A6A6
23	#9A9A9A
24	#8F8F8F
25	#848484
26	#787878
27	#6D6D6D
28	#636363
29	#585858
30	#4E4E4E
31	#454545
32	#3C3C3C
33	#343434
34	#2D2D2D
35	#272727
36	#222222
37	#1E1E1E
38	#1B1B1B
39	#181818
40	#161616
41	#B6B6B6
42	#ABABAB
43	#9F9F9F
44	#949494
45	#898989
46	#7E7E7E
47	#737373
48	#686868
49	#5E5E5E
50	#545454
51	#4B4B4B
52	#434343
53	#3B3B3B
54	#343434
55	#2E2E2E
56	#292929
57	#252525
58	#212121
59	#1E1E1E
60	#1B1B1B
61	#BBBBBB
62	#AFAFAF
63	#A4A4A4
64	#999999
65	#8E8E8E
66	#838383
67	#787878
68	#6D6D6D
69	#636363
70	#5A5A5A
71	#515151
72	#494949
73	#414141
74	#3B3B3B
75	#353535
76	#303030
77	#2B2B2B
78	#272727
79	#232323
80	#1F1F1F
81	#BFBFBF
82	#B3B3B3
83	#A8A8A8
84	#9D9D9D
85	#929292
86	#878787
87	#7D7D7D
88	#727272
89	#696969
90	#5F5F5F
91	#575757
92	#4F4F4F
93	#484848
94	#414141
95	#3B3B3B
96	#363636
97	#313131
98	#2C2C2C
99	#272727
100	#232323
101	#C2C2C2
102	#B7B7B7
103	#ACACAC
104	#A1A1A1
105	#969696
106	#8B8B8B
107	#818181
108	#777777
109	#6D6D6D
110	#656565
111	#5C5C5C
112	#555555
113	#4E4E4E
114	#474747
115	#414141
116	#3C3C3C
117	#363636
118	#313131
119	#2B2B2B
120	#252525
121	#C4C4C4
122	#B9B9B9
123	#AEAEAE
124	#A4A4A4
125	#999999
126	#8F8F8F
127	#858585
128	#7B7B7B
129	#727272
130	#6A6A6A
131	#626262
132	#5A5A5A
133	#545454
134	#4D4D4D
135	#474747
136	#414141
137	#3B3B3B
138	#343434
139	#2D2D2D
140	#262626
141	#C6C6C6
142	#BBBBBB
143	#B1B1B1
144	#A6A6A6
145	#9C9C9C
146	#929292
147	#888888
148	#7F7F7F
149	#777777
150	#6E6E6E
151	#676767
152	#606060
