group	fill
1	#B8B8B8
2	#AAAAAA
3	#9C9C9C
4	#8F8F8F
5	#818181
6	#757575
7	#696969
8	#5D5D5D
9	#535353
10	#494949
11	#404040
12	#393939
13	#323232
14	#2C2C2C
15	#282828
16	#242424
17	#222222
18	#202020
19	#202020
20	#202020
21	#BCBCBC
22	#AEAEAE
23	#A0A0A0
24	#939393
25	#868686
26	#7A7A7A
27	#6E6E6E
28	#626262
29	#585858
30	#4E4E4E
31	#454545
32	#3D3D3D
33	#363636
34	#303030
35	#2C2C2C
36	#282828
37	#252525
38	#232323
39	#222222
40	#222222
41	#BFBFBF
42	#B1B1B1
43	#A4A4A4
44	#979797
45	#8A8A8A
46	#7E7E7E
47	#727272
48	#676767
49	#5C5C5C
50	#525252
51	#494949
52	#414141
53	#3A3A3A
54	#343434
55	#2F2F2F
56	#2B2B2B
57	#272727
58	#252525
59	#242424
60	#232323
61	#C1C1C1
62	#B4B4B4
63	#A8A8A8
64	#9B9B9B
65	#8E8E8E
66	#828282
67	#777777
68	#6B6B6B
69	#616161
70	#575757
71	#4E4E4E
72	#454545
73	#3E3E3E
74	#383838
75	#323232
76	#2E2E2E
77	#2A2A2A
78	#272727
79	#252525
80	#242424
81	#C3C3C3
82	#B7B7B7
83	#ABABAB
84	#9E9E9E
85	#929292
86	#868686
87	#7B7B7B
88	#6F6F6F
89	#656565
90	#5B5B5B
91	#525252
92	#494949
93	#424242
94	#3B3B3B
95	#353535
96	#303030
97	#2C2C2C
98	#292929
99	#272727
100	#252525
101	#C5C5C5
102	#B9B9B9
103	#ADADAD
104	#A1A1A1
105	#959595
106	#8A8A8A
107	#7E7E7E
108	#737373
109	#696969
110	#5F5F5F
111	#565656
112	#4D4D4D
113	#454545
114	#3E3E3E
115	#383838
116	#333333
117	#2E2E2E
118	#2B2B2B
119	#282828
120	#262626
121	#C6C6C6
122	#BABABA
123	#AFAFAF
124	#A4A4A4
125	#989898
126	#8D8D8D
127	#828282
128	#777777
129	#6D6D6D
130	#636363
131	#595959
132	#505050
133	#484848
134	#414141
135	#3B3B3B
136	#353535
137	#303030
138	#2C2C2C
139	#292929
140	#262626
141	#C6C6C6
142	#BBBBBB
143	#B1B1B1
144	#A6A6A6
145	#9B9B9B
146	#909090
147	#858585
148	#7A7A7A
149	#707070
150	#666666
151	#5D5D5D
152	#545454
153	#4B4B4B
154	#444444
155	#3D3D3D
156	#373737
157	#323232
158	#2D2D2D
159	#292929
160	#262626
161	#C6C6C6
162	#BCBCBC
163	#B2B2B2
164	#A7A7A7
165	#9D9D9D
166	#929292
167	#888888
168	#7D7D7D
169	#737373
170	#696969
171	#606060
172	#575757
173	#4E4E4E
174	#474747
175	#3F3F3F
176	#393939
177	#333333
178	#2E2E2E
179	#2A2A2A
180	#262626
